Phase,FPS_Inst,Latence_ms,Temp_C,Power_Soft_W,Power_Manual_W
TEST,1.9,524.92,82.8,0,5.57
TEST,1.9,528.89,81.8,0,5.57
TEST,1.9,515.58,83.3,0,5.57
TEST,1.9,525.69,83.3,0,5.57
TEST,1.9,530.65,83.8,0,5.57
TEST,1.9,530.95,83.3,0,5.57
TEST,1.9,526.42,83.3,0,5.57
TEST,1.9,534.54,82.8,0,5.57
TEST,1.9,529.31,83.3,0,5.57
TEST,1.9,523.82,82.3,0,5.57
TEST,1.9,526.25,82.3,0,5.57
TEST,1.9,522.19,83.3,0,5.57
TEST,1.9,523.59,82.8,0,5.57
TEST,1.9,530.91,82.3,0,5.57
TEST,1.9,521.54,83.8,0,5.57
TEST,1.9,527.33,82.8,0,5.57
TEST,1.9,530.23,81.8,0,5.57
TEST,1.9,536.14,83.3,0,5.57
TEST,1.9,519.43,82.3,0,5.57
TEST,1.9,516.31,82.8,0,5.57
